Regions,Disparity Ratio_Full Time_BABS_NBWNH-FBRace,Score_Full Time_BABS_NBWNH-FBRace,Grades_Full Time_BABS_NBWNH-FBRace,Disparity Ratio-Unemployment_BABS_NBWNH-FBRace,Score_Unemployment_BABS_NBWNH-FBRace,Grades_Unemployment_BABS_NBWNH-FBRace,Disparity Ratio_Poverty_BABS_NBWNH-FBRace,Score_Poverty_BABS_NBWNH-FBRace,Grades_Poverty_BABS_NBWNH-FBRace,Disparity Ratio_Working Poor_BABS_NBWNH-FBRace,Score_Working Poor_BABS_NBWNH-FBRace,Grades_Working Poor_BABS_NBWNH-FBRace,Disparity Ratio-Income_BABS_NBWNH-FBRace,Score_Income_BABS_NBWNH-FBRace,Grades_Income_BABS_NBWNH-FBRace,Disparity Ratio-Rent Burden_BABS_NBWNH-FBRace,Score_Rent Burden_BABS_NBWNH-FBRace,Grades_Rent Burden_BABS_NBWNH-FBRace,Disparity Ratio_Homeownership_BABS_NBWNH-FBRace,Score_Homeownership_BABS_NBWNH-FBRace,Grades_Homeownership_BABS_NBWNH-FBRace
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",1.05,0.26,B-,0.88,0.19,C,2.38,0.08,C,4.35,0.07,C,0.84,-0.06,C,#DIV/0!,#DIV/0!,#DIV/0!,0.82,-0.05,C
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",1.07,0.35,B-,0.00,0.41,B-,4.45,-0.27,C-,3.32,0.13,C,0.75,-0.22,C,#DIV/0!,#DIV/0!,#DIV/0!,1.07,0.61,B-
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",1.07,0.35,B-,0.67,0.24,C,0.40,0.41,B-,0.15,0.33,B-,0.69,-0.35,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.31,1.24,B
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",1.04,0.20,C,1.01,0.15,C,11.18,-1.40,D-,#DIV/0!,#DIV/0!,#DIV/0!,0.76,-0.22,C,#DIV/0!,#DIV/0!,#DIV/0!,0.74,-0.28,C-
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",0.95,-0.24,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.66,-0.41,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.38,-1.23,D
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",1.02,0.10,C,1.81,-0.05,C,1.05,0.30,B-,0.90,0.28,B-,0.96,0.16,C,0.00,0.50,B-,1.28,1.17,B
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",0.95,-0.25,C,1.08,0.14,C,1.15,0.29,B-,0.49,0.31,B-,0.72,-0.28,C-,0.25,0.38,B-,1.27,1.14,B
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",1.01,0.06,C,0.30,0.33,B-,1.37,0.25,C,0.78,0.29,B-,0.70,-0.33,C-,0.70,0.15,C,1.03,0.50,B-
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",0.99,-0.07,C,9.41,-2.01,E,4.39,-0.26,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.65,-0.43,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.92,0.20,C
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",0.87,-0.60,C-,0.70,0.23,C,1.02,0.31,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.79,-0.15,C,#DIV/0!,#DIV/0!,#DIV/0!,0.45,-1.05,D
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",0.84,-0.75,D,3.60,-0.51,C-,4.66,-0.31,C-,2.19,0.20,C,1.16,0.57,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.92,0.21,C
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",1.22,1.03,B,2.58,-0.25,C-,0.84,0.34,B-,0.00,0.34,B-,0.54,-0.64,C-,0.19,0.41,B-,1.29,1.20,B
