Regions,Disparity Ratio_Full Time_HS_FBALLM-F,Score_Full Time_HS_FBALLM-F,Grades_Full Time_HS_FBALLM-F,Disparity Ratio-Unemployment_HS_FBALLM-F,Score_Unemployment_HS_FBALLM-F,Grades_Unemployment_HS_FBALLM-F,Disparity Ratio_Poverty_HS_FBALLM-F,Score_Poverty_HS_FBALLM-F,Grades_Poverty_HS_FBALLM-F,Disparity Ratio_Working Poor_HS_FBALLM-F,Score_Working Poor_HS_FBALLM-F,Grades_Working Poor_HS_FBALLM-F,Disparity Ratio-Income_HS_FBALLM-F,Score_Income_HS_FBALLM-F,Grades_Income_HS_FBALLM-F,Disparity Ratio-Rent Burden_HS_FBALLM-F,Score_Rent Burden_HS_FBALLM-F,Grades_Rent Burden_HS_FBALLM-F,Disparity Ratio_Homeownership_HS_FBALLM-F,Score_Homeownership_HS_FBALLM-F,Grades_Homeownership_HS_FBALLM-F,Disparity Ratio_Naturalization_HS_FBALLM-F,Score_Naturalization_HS_FBALLM-F,Grades_Naturalization_HS_FBALLM-F
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",1.02,0.53,B-,0.29,-0.44,C-,0.35,-0.47,C-,0.00,-0.64,C-,2.01,1.19,B,0.68,-0.44,C-,4.48,5.58,A,1.14,-0.07,C
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",0.92,0.09,C,0.79,-0.16,C,0.79,-0.30,C-,0.00,-0.64,C-,1.23,0.31,B-,0.71,-0.41,C-,1.15,0.12,C,1.06,-0.14,C
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",0.77,-0.53,C-,0.00,-0.61,C-,0.73,-0.33,C-,0.00,-0.64,C-,1.02,0.07,C,0.58,-0.50,C-,0.34,-1.21,D,0.98,-0.21,C
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",0.75,-0.65,C-,#DIV/0!,#DIV/0!,#DIV/0!,4.75,1.21,B,2.44,1.22,B,0.53,-0.49,C-,6.32,3.19,A,1.09,0.02,C,1.39,0.14,C
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",0.87,-0.11,C,#DIV/0!,#DIV/0!,#DIV/0!,0.72,-0.33,C-,0.00,-0.64,C-,0.49,-0.53,C-,0.16,-0.77,D,0.66,-0.70,C-,1.38,0.13,C
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",0.80,-0.40,C-,1.15,0.04,C,1.85,0.10,C,0.40,-0.33,C-,1.03,0.07,C,1.69,0.21,C,1.37,0.48,B-,1.29,0.05,C
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",0.86,-0.14,C,0.00,-0.61,C-,0.18,-0.54,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.58,-0.43,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.87,1.30,A-,0.81,-0.36,C-
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",0.92,0.09,C,#DIV/0!,#DIV/0!,#DIV/0!,16.58,5.74,A,#DIV/0!,#DIV/0!,#DIV/0!,1.13,0.19,C,#DIV/0!,#DIV/0!,#DIV/0!,0.59,-0.82,D,1.13,-0.08,C
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",0.98,0.36,B-,0.00,-0.61,C-,1.21,-0.14,C,2.61,1.35,A-,0.69,-0.30,C-,1.85,0.32,B-,0.75,-0.54,C-,1.57,0.29,B-
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",0.93,0.14,C,0.00,-0.61,C-,1.89,0.12,C,1.42,0.45,B-,0.85,-0.13,C,1.12,-0.15,C,1.04,-0.08,C,0.98,-0.21,C
