Region,FT Work Access_HS_Ratio,Unemployment_HS_Ratio,Poverty_HS_Ratio,Working Poor_HS_Ratio,Income_HS_Ratio,Rent Burden_HS_Ratio,Homeownership_HS_Ratio,FT Work Access_HS_SCORES,Unemployment_HS_SCORES,Poverty_HS_SCORES,Working Poor_HS_SCORES,Income_HS_SCORES,Rent Burden_HS_SCORES,Homeownership_HS_SCORES,FT Work Access_HS_GRADES,Unemployment_HS_GRADES,Poverty_HS_GRADES,Working Poor_HS_GRADES,Income_HS_GRADES,Rent Burden_HS_GRADES,Homeownership_HS_GRADES
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",1.51,0.00,0.00,0.00,0.68,#DIV/0!,1.26,1.15,0.40,0.90,0.37,-0.24,#DIV/0!,0.84,B,B-,B,B-,C,#DIV/0!,B
"Niagara County (North & East) PUMA, New York",0.00,11.79,0.00,#DIV/0!,#DIV/0!,0.82,0.47,-2.19,-3.05,0.90,#DIV/0!,#DIV/0!,0.02,-0.61,E,E,B,#DIV/0!,#DIV/0!,C,C-
"Erie County (Northwest) PUMA, New York",1.57,0.00,8.63,32.33,0.15,0.00,0.00,1.28,0.40,-3.87,-1.89,-1.52,0.18,-1.47,A-,B-,E,E,D-,C,D-
"Erie County (North Central) PUMA, New York",#DIV/0!,#DIV/0!,6.38,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,-2.63,#DIV/0!,#DIV/0!,0.18,-1.47,#DIV/0!,#DIV/0!,E,#DIV/0!,#DIV/0!,C,D-
"Erie County (Northeast) PUMA, New York",0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,1.20,-2.19,0.40,0.90,#DIV/0!,#DIV/0!,#DIV/0!,0.74,E,B-,B,#DIV/0!,#DIV/0!,#DIV/0!,B-
"Erie County (Central) PUMA, New York",0.60,0.00,2.86,0.00,0.74,#DIV/0!,1.35,-0.87,0.40,-0.68,0.37,-0.10,#DIV/0!,1.01,D,B-,C-,B-,C,#DIV/0!,B
"Erie County (West Central)--Buffalo City (East) PUMA, New York",1.48,0.00,0.00,0.00,0.96,#DIV/0!,0.00,1.08,0.40,0.90,0.37,0.45,#DIV/0!,-1.47,B,B-,B,B-,B-,#DIV/0!,D-
"Erie County (West Central)--Buffalo City (West) PUMA, New York",0.39,#DIV/0!,2.85,5.13,0.77,0.40,0.16,-1.33,#DIV/0!,-0.68,0.01,-0.03,0.10,-1.17,D-,#DIV/0!,C-,C,C,C,D
"Erie County (South) PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.18,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,C,#DIV/0!
"Livingston & Wyoming Counties PUMA, New York",1.29,0.00,0.00,0.00,0.84,#DIV/0!,1.25,0.67,0.40,0.90,0.37,0.14,#DIV/0!,0.82,B-,B-,B,B-,C,#DIV/0!,B
