Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Score_Overall,Grades_OVERALL
"Monroe County (Central)--Rochester City (West) PUMA, New York",1.107,0.258050206,B-,0.5691407666,-0.5140582683,C-,1.0390878592,0.3231789735,B-,1.5122114614,0.2675419301,B-,1.1441299749,0.6294806642,B-,0.5458657954,0.3020959041,B-,0,0.4011919333,B-,0.2382116204,C
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",1.337,0.7671681433,B,1.0072371078,0.5509716611,B-,0,0.8968111985,B,0,0.3735413719,B-,1.2962439569,0.9083516825,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4011919333,B-,#DIV/0!,#DIV/0!
"Monroe County (North & West) PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0.8968111985,B,#DIV/0!,#DIV/0!,#DIV/0!,1.2957636239,0.9074710867,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Monroe County (South) PUMA, New York",1.324,0.7381812976,B-,0.1668527717,-1.492036659,D-,0,0.8968111985,B,0,0.3735413719,B-,1.3027210884,0.9202262272,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4011919333,B-,#DIV/0!,#DIV/0!
"Genesee & Orleans Counties PUMA, New York",1.112,0.2694752954,B-,0.5262048944,-0.6184371106,C-,1.7579879345,-0.0736924229,C,1.8321193609,0.2451177787,C,1.2586470545,0.839425169,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4011919333,B-,#DIV/0!,#DIV/0!
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",1.508,1.1455236784,B,0.680047409,-0.2444397336,C,0,0.8968111985,B,0,0.3735413719,B-,1.2579181919,0.838088943,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4011919333,B-,#DIV/0!,#DIV/0!
"Niagara County (North & East) PUMA, New York",0.000,-2.1858055843,E,#DIV/0!,#DIV/0!,#DIV/0!,0,0.8968111985,B,#DIV/0!,#DIV/0!,#DIV/0!,0.467722815,-0.6105786056,C-,6.6752136752,-2.8160476391,E,11.7886882368,-3.045767743,E,#DIV/0!,#DIV/0!
"Erie County (Northwest) PUMA, New York",1.568,1.2779778547,A-,0.154677446,-1.5216353683,D-,8.6337874659,-3.8695025162,E,32.3319327731,-1.8927863961,E,0,-1.4680562415,D-,0,0.5797906832,B-,0,0.4011919333,B-,-0.927574293,D
"Erie County (North Central) PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,6.380952381,-2.6258167288,E,#DIV/0!,#DIV/0!,#DIV/0!,0,-1.4680562415,D-,1.7363530778,-0.3035329989,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Erie County (Northeast) PUMA, New York",0.000,-2.1858055843,E,#DIV/0!,#DIV/0!,#DIV/0!,0,0.8968111985,B,#DIV/0!,#DIV/0!,#DIV/0!,1.204657574,0.7404460928,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4011919333,B-,#DIV/0!,#DIV/0!
"Erie County (Central) PUMA, New York",0.596,-0.8703109746,D,0.7377102474,-0.1042590406,C,2.8601624156,-0.6821518466,C-,0,0.3735413719,B-,1.3543644892,1.0149042283,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4011919333,B-,#DIV/0!,#DIV/0!
"Erie County (West Central)--Buffalo City (East) PUMA, New York",1.478,1.0791090022,B,0.9648473933,0.4479205502,B-,0,0.8968111985,B,0,0.3735413719,B-,0,-1.4680562415,D-,0,0.5797906832,B-,0,0.4011919333,B-,0.3300440711,B-
"Erie County (West Central)--Buffalo City (West) PUMA, New York",0.389,-1.3275751476,D-,0.7676152344,-0.0315588074,C,2.8472121495,-0.6750026052,C-,5.1325478645,0.0137721052,C,0.1626603254,-1.1698505804,D,0,0.5797906832,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Erie County (South) PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Livingston & Wyoming Counties PUMA, New York",1.294,0.67165098,B-,0.8391123815,0.1422536497,C,0,0.8968111985,B,0,0.3735413719,B-,1.2499432291,0.8234684198,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4011919333,B-,#DIV/0!,#DIV/0!
"Ontario & Yates Counties PUMA, New York",1.261,0.5998813285,B-,0.3529075854,-1.0397298796,D,0,0.8968111985,B,0,0.3735413719,B-,1.1154223698,0.5768509259,B-,0,0.5797906832,B-,0,0.4011919333,B-,0.3411910802,B-
"Madison & Cortland Counties PUMA, New York",1.306,0.6981684121,B-,0.9067114784,0.306589789,B-,0,0.8968111985,B,0,0.3735413719,B-,1.2726732084,0.8651393589,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4011919333,B-,#DIV/0!,#DIV/0!
"Fulton & Montgomery Counties PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Schenectady County--Schenectady City PUMA, New York",0.979,-0.0237112525,C,0.5593789347,-0.5377896765,C-,0,0.8968111985,B,0,0.3735413719,B-,1.3467158565,1.0008819671,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4011919333,B-,#DIV/0!,#DIV/0!
"Saratoga County (South & Central) PUMA, New York",0.227,-1.6834861194,D-,0.1017413024,-1.650325275,D-,1.2336978408,0.2157438266,C,13.8616780045,-0.5981019255,C-,1.2083254732,0.7471704634,B-,14.9428571429,-7.0219924805,E,0,0.4011919333,B-,-1.3699713682,D-
"Saratoga County (Outer) PUMA, New York",1.311,0.7100684598,B-,0.7321310058,-0.1178224027,C,1.8317061144,-0.1143888118,C,16.8814019635,-0.8097714322,D,0.8486921529,0.0878536214,C,0,0.5797906832,B-,8.1899371069,-1.99350902,E,-0.2368255575,C
"Rensselaer County--Troy City PUMA, New York",1.302,0.6891709836,B-,0.3487930018,-1.0497325988,D,0,0.8968111985,B,0,0.3735413719,B-,1.373659577,1.0502779705,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4011919333,B-,#DIV/0!,#DIV/0!
"Albany County (East Central)--Albany City PUMA, New York",1.174,0.4076218927,B-,0.2437802186,-1.3050229233,D-,3.2906155399,-0.9197850565,D,39.64,-2.4050501015,E,0,-1.4680562415,D-,0,0.5797906832,B-,0,0.4011919333,B-,-0.6727585448,C-
"Albany County (Outside Albany City) PUMA, New York",0.336,-1.4436125798,D-,0.5954557926,-0.4500853755,C-,1.790297237,-0.0915288907,C,9.5821710832,-0.2981271162,C-,0.4184195625,-0.7009664058,C-,0.924143026,0.1096573728,C,11.829207045,-3.0576152612,E,-0.8474683223,D
"Columbia & Greene Counties PUMA, New York",1.410,0.9277218901,B,0.5224759661,-0.6275022861,C-,0,0.8968111985,B,0,0.3735413719,B-,0.9510231833,0.2754574055,B-,0,0.5797906832,B-,0,0.4011919333,B-,0.4038588852,B-
"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",1.281,0.6442718236,B-,0.6993167332,-0.197595227,C,2.4441558684,-0.4524939219,C-,4.7778992348,0.0386314306,C,0.5112872405,-0.5307118139,C-,0,0.5797906832,B-,0,0.4011919333,B-,0.0690121297,C
